,prod_name,positive_percentage
0,0.6 Cu. Ft. Letter A4 Size Waterproof 30 Min. Fire File Chest,100.0
181,"Pinaud Clubman Styling Gel, Superhold",100.0
123,"Kikkoman Soy Sauce, 5fl oz",100.0
126,King Ralph (dvd),100.0
127,Kohler 10280-4 Fort Bath Spout With Sculpted Lift Rod and 1/2-in NPT Connection,100.0
132,"L'oreal Paris Colour Caresse Wet Shine Stain, Pink Resistance",100.0
134,La Tortilla Factory Hand Made Style Tortillas Flour,100.0
137,Lite Source Basic Ii 1-Lt Floor Lamp - Dark Bronze,100.0
140,Lundberg Organic Cinnamon Toast Rice Cakes,100.0
145,Maybelline Clean Express! Makeup Removing Lotion,100.0
153,Moom Express Pre Waxed Strips For Face & Bikini,100.0
160,Naturtint Nutrideep Multiplier Protective Cream,100.0
161,Nearly Natural 5.5' Bamboo W/decorative Planter,100.0
162,Nearly Natural Pothos Ledge Plant (set On Foam) Silk Plant,100.0
167,Noosa Honey Yogurt,100.0
170,Olay Moisturizing Lotion For Sensitive Skin,100.0
174,Pacific Natural Foods Organic Beef Broth,100.0
121,Kendall Comforter And Sheet Set (twin) Aqua - 7pc,100.0
114,JNH Lifestyles Goldstar 3 Person FAR Infrared Sauna,100.0
112,"J.R. Watkins Hand Cream, Lemon Cream",100.0
92,Germ Guardian174 Elite 3-In-1 Pet Pure True Hepa Air Purifier Ac4300bptca,100.0
78,"Dermalogica Special Cleansing Gel, 8.4oz",100.0
80,Disney174 Jake And The Neverland Pirates 4 Piece Bedding Set - Toddler,100.0
85,Every Man Jack Pomade Signature Mint Scent,100.0
86,Fantasy Fields Lil' Sports Fan Step Stool - Teamson,100.0
87,Feit 60-Watt A19 Gu24 Base Led Light Bulb - Soft White,100.0
91,Gain Original Scent Liquid Fabric Softener 129 Oz,100.0
94,Greyson Vintage Industrial Occasional Cocktail Coffee Table - Antique Bronze - Baxton Studio,100.0
110,"Iman Luxury Moisturizing Lipstick, Black Brandy 006",100.0
95,Happy Tot Apple and Butternut Squash,100.0
98,Head & Shoulders Dandruff Shampoo Ocean Lift 2 In 1,100.0
101,Herr's Baked Cheese Curls,100.0
102,High-Dome Floor Door Stop,100.0
103,Hollywood Beauty Olive Cholesterol,100.0
109,If A Man Answers (dvd),100.0
177,Pearhead Id Bracelet Frame,100.0
182,Pink Friday: Roman Reloaded Re-Up (w/dvd),100.0
75,D-Con Mice Bait Station - 3ct,100.0
188,Plum Organics Just Prunes,100.0
219,Solo Foods Almond Paste,100.0
223,Southern Enterprises Archer Fold-Away Home Bar in Walnut,100.0
227,Stander Pt Bedcane - Bed Handle,100.0
228,Starbucks Iced Expresso Classics Vanilla Latte Coffee Beverage - 40oz,100.0
231,Stonyfield Yobaby Peach & Pear Yogurt 4oz 6 Ct,100.0
236,Switchmas (dvd),100.0
241,"The Seaweed Bath Co. Argan Conditioner, Smoothing Citrus",100.0
252,Udi's Pepperoni Pizza,100.0
253,Various - Country's Greatest Gospel:Gold Ed (cd),100.0
254,Various - Red Hot Blue:Tribute To Cole Porter (cd),100.0
262,"Wallmount Server Cabinet (450mm, 9 RU)",100.0
263,"Way Basics 3-Shelf Eco Narrow Bookcase Storage Shelf, Espresso - Formaldehyde Free - Lifetime Guarantee",100.0
265,Wedding Wishes Wedding Guest Book,100.0
267,Wilton Black Dots Standard Baking Cups,100.0
269,Yes To Carrots Nourishing Body Wash,100.0
218,"Smead174 Recycled Letter Size Manila File Backs W/prong Fasteners, 2 Capacity, 100/box",100.0
217,"Smead174 3-In-1 Supertab Section Folders, 1/3 Cut Top Tab, Letter, Assorted, 12/pack",100.0
215,"Sloan Royal Urinal Flush Valve, 1.0 Gpf, Royal 186-1",100.0
204,SC Johnson One Step No Buff Wax,100.0
189,Pocket Watch Wall Clock Distressed Black - Yosemite Home Decor174,100.0
192,Progresso Light Vegetable & Noodle Soup,100.0
193,Progresso Traditional Chicken Rice With Vegetables Soup,100.0
195,Progresso Traditional Meatball & Rice Soup,100.0
201,Reebok Classic Leather Running Shoes - White (Men),100.0
203,Roommates No Place Like Home Peel Stick Wall Decals,100.0
206,Scooby Doo And The Loch Ness Monster (blu-Ray),100.0
213,"Simple Green All-Purpose Cleaner, 16oz",100.0
207,Scotty Mini Double Ended Extender,100.0
208,Sea Gull Lighting Ceiling Fan - White,100.0
209,Sea Gull Lighting Holman One Light Wall/bath Sconce - Brushed Nickel,100.0
210,Sea Gull Lighting One Light Wall/bath/vanity-Brushed Nickel,100.0
211,Sea Gull Lighting Six Light Bath Sconce/vanity - Brushed Nickel,100.0
212,"Shea Moisture Mango & Carrot Kids Extra-Nourishing Conditioner, 8fl Oz",100.0
77,Delta Single Handle Shower Faucet,100.0
135,Lay's Salt & Vinegar Flavored Potato Chips,100.0
24,"Batherapy Natural Mineral Bath Sport Liquid, 16 oz",100.0
50,"Carson-Dellosa Publishing Photographic Learning Cards Boxed Set, Nouns/verbs/adjectives, Grades K-12",100.0
60,Chobani174 Strawberry On The Bottom Non-Fat Greek Yogurt - 5.3oz,100.0
61,Citrus Magic Instant Spot & Stain Remover,100.0
43,Cal Lighting Led Dark Bronze Finish Metal Piano Lamp,100.0
42,"Burt's Bees Lip Shimmer, Watermelon",100.0
37,"Bodycology Nourishing Body Cream, Pretty In Paris",100.0
36,Blue Anchor Design Throw Pillow (18x18) - Rizzy Home,100.0
35,Black Sister's Revenge (dvd),100.0
32,Bill Glor Gaither - Church In The Wildwood (cd),100.0
30,Bi-O-kleen Spray & Wipe All Purpose Cleaner,100.0
28,"Ben & Jerry's Coffee, Coffee Buzzbuzzbuzz! Ice Cream, Pint",100.0
25,Baxter Of California Cream Pomade,100.0
66,Clorox Ultimate Care Premium Bleach,100.0
53,"Cetaphil Gentle Skin Cleanser, 2oz",100.0
21,"BRIDGESTONE 130/70ZR18M/C(63W)FRONT EXEDRA G851, CRUISER RADL",100.0
18,Avery174 11-1/4 X 9-1/4 Index Maker Extra Wide Label Dividers With 5 Tab - Clear (5 Sets Per Pack),100.0
67,Cococare 100% Natural Castor Oil,100.0
68,"Colorganics Lipstick, Cayenne",100.0
12,Annie's Homegrown Deluxe Elbows & Four Cheese Sauce,100.0
11,Ambi Complexion Cleansing Bar,100.0
10,"All,bran Complete Wheat Flakes, 18 Oz.",100.0
8,Alberto VO5 Salon Series Smooth Plus Sleek Shampoo,100.0
7,Africa's Best No-Lye Dual Conditioning Relaxer System Super,100.0
6,5302050 15/16 FCT/HOSE ADAPTOR,100.0
